"V7","strain"
0.00780143,0
0.007801982,-0.00800020819817746
0.007801218,-0.01628958054812
0.007801522,-0.0244825648474685
0.00780051,-0.0328683252479708
0.007802212,-0.0410613095473364
0.007800788,-0.0491579057960908
0.007802,-0.0575436661966103
0.007802224,-0.065061934141903
0.00780253,-0.0729657542895035
0.007801109,-0.0802912461336253
0.007800428,-0.0877131260283411
0.0078009,-0.0949422298218858
0.007801948,-0.102074945564837
0.007801926,-0.109111273257227
0.007801165,-0.115954824848447
0.007800074,-0.122798376439667
0.007801289,-0.12954553998031
0.007800611,-0.136003539369205
0.007800015,-0.14236515070754
0.007802054,-0.148823150096435
0.007799401,-0.154991985333582
0.007800946,-0.161257208621323
0.007801011,-0.167329655807911
0.007802309,-0.173402102994481
0.0078004,-0.17918538602932
0.007800793,-0.185161445165313
0.00779913,-0.190751952098998
0.007803804,-0.196342459032667
0.007799014,-0.202029354016912
0.007800232,-0.20752347290002
0.007802274,-0.212824815681941
0.007798555,-0.218222546514455
0.007801747,-0.223620277346969
0.007801814,-0.22882523207833
0.00779834,-0.23412657486025
0.007801949,-0.239138753490457
0.00780292,-0.244247320171223
0.007799038,-0.249163110750835
0.00780001,-0.254175289381025
0.007800571,-0.259091079960637
0.007800968,-0.264006870540233
0.007801776,-0.268633496968114
0.007798471,-0.273549287547727
0.007800679,-0.278272302026168
0.007800088,-0.282898928454033
0.007801228,-0.287429166831321
0.007802447,-0.291959405208608
0.007801446,-0.29658603163649
0.007800693,-0.301019881963183
0.007799445,-0.305453732289894
0.007799844,-0.309791194566028
0.007801888,-0.314321432943315
0.007799735,-0.318562507168855
0.007801039,-0.322899969444989
0.007801026,-0.327044655619951
0.007801757,-0.331189341794914
0.007800836,-0.335334027969877
0.007801155,-0.339575102195434
0.007800401,-0.343623400319819
0.007799895,-0.347671698444188
0.00780046,-0.351719996568574
0.007797813,-0.355961070794131
0.007801094,-0.360009368918516
0.007799766,-0.363768502891154
0.007801894,-0.367624024914386
0.007802046,-0.371479546937601
0.00780154,-0.375238680910239
0.00780194,-0.379094202933471
0.007801682,-0.382853336906108
0.007802825,-0.386612470878763
0.007801497,-0.390371604851401
0.007802225,-0.394034350773462
0.007802132,-0.3977934847461
0.007801216,-0.401359842617584
0.00780351,-0.404926200489068
0.007802594,-0.408588946411128
0.007804065,-0.412155304282612
0.007802984,-0.415721662154096
0.007799928,-0.41928802002558
0.007801647,-0.422661601795893
0.007801389,-0.426227959667377
0.00780179,-0.429601541437707
0.007802191,-0.433071511258597
0.007801688,-0.436541481079504
0.007804969,-0.43981867479924
0.007800186,-0.443095868518976
0.007799766,-0.446373062238729
0.007801978,-0.449650255958465
0.00780205,-0.453120225779372
0.007804508,-0.456397419499108
